;Column1;level_0;Id;Text;Label
400;400;2463;2463;@b_riexinger Und Tschüss in die Versenkung. Solche Politiker sind angesichts russischer Ambitionen auf Moldawien, Baltikum und Finnland schlicht nur Volksverräter. Wer uns jetzt wehrlos machen will, verspricht sich wohl einen Posten in einer späteren russischen Verwaltung in D;Choose�
401;401;15175;15175;"@EskenSaskia Könnt ihr verlogenen Politiker nicht wenigstens ein einziges Mal einfach die Gosch halten, wenn ohnehin nur Müll rauskommt?
Schreib nicht hier auf Twitter, sondern setz dich für Sanktionen und Waffenlieferungen ein! Meine Fresse, ihr Politiker macht mich so unfassbar sauer https://t.co/Kh1Glc38Pg";Choose�
402;402;46367;46367;@Karl_Lauterbach @c_drosten Diese scheiß Impfung ist reines Gift. Gerade im Familienkreis festgestellt. Geboostert und ins Krankenhaus, ich als ungeimpfter hatte einen leichten Verlauf. Hören Sie endlich auf zu Lügen. Diese scheiß Giftimpfung wird zum Glück mehr und mehr abgelehnt. Sie si d ein Lügner!! 🖕🏼;Choose�
403;403;4934;4934;@Pearl73260360 @AnneWillTalk @annewill @KuehniKev @JTrittin @DietmarBartsch @anneapplebaum @MelnykAndrij @InaRuck @DasErste Wenn der Clown fehlt ist der ganze Zirkus langweilig.;Choose�
404;404;80330;80330;@AnAudretsch Vielleicht hat sich der Abgeordnete der AfD ja gerade zu diesem Zeitpunkt als Grüner gefühlt. Oder als Linker. Oder als Markus Ganserer. Oder als Tessa? Wer weiss das schon. Warum beantworten Sie vom Steuerzahler alimentierter Clown die Frage nicht? https://t.co/C003Gka4Os;Choose�
405;405;3581;3581;@SWagenknecht Oh BITTE halten Sie einfach Ihren Mund. Niemand interessiert, was Sie wieder zu Hitlers Verteidigung zu sagen haben. Einfach nur noch lost. Wie es dazu kommen konnte? Leute wie Sie haben den irren Putin jahrelang verteidigt und lieber den Feind in den demokr. USA gesehen.  🤢;Choose�
406;406;16809;16809;@lime_green_leni @BMI_Bund @GrueneBundestag @LamyaKaddor so ein Scheiss, was hier der Glaube zu suchen . Allen muss geholfen werden🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️;Choose�
407;407;27934;27934;"@SeiMa_Nichso @Karl_Lauterbach @Markus_Soeder @MarcoBuschmann Genau so begann die Scheiße jedes mal in der Geschichte! ""Es war ja nur..."" ABER es bleibt nicht dabei wenn man sich nicht wehrt! Ihr beschissenen Angstneurotiker habt die Verantwortung eine möglichst FREIE Welt an eure Kinder zu übergeben! Gott, wie ihr mich ankotzt!!";Choose�
408;408;47065;47065;@Deliandelicious @ndlorenor2zorro @BillyJ147 @Karl_Lauterbach Geschwurbel he. Leg die Zahlen vor du Schwätzer. Und zwar alle um die ich gebeten habe, sonst nennt man das unvollständige Beweisführung. Und das mit dem Selbstschutz gilt auch für dich und dein labiles Ego. Was hab ich in den Armen? C19-Antikörper nix anderes.Lern wie mRNA funzt;Choose�
409;409;51759;51759;"@Karl_Lauterbach Herr #Lauterbach, Sie haben sich von der #afdp vor deren Karren spannen lassen und merken es offenbar noch nicht einmal mal! 

Bitte setzten Sie sich endlich durch, anstatt den #FreeDummDay-Hampelmann für die #FDP zu spielen!

Sie sind zu konfliktscheu!

https://t.co/ETRd7FpO2W";Choose�
